id,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,Population500,Population500to1999,Population2000to9999,Population10000,unemployment_rate_1995,unemployment_rate_1996,commited_crimes_1995,commited_crimes_1996
1,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0.0,0.0,0.0,1.0,0.2,0.43,85677,99107.0
2,Benesov,central Bohemia,88884,5,46.7,8507,132,80.0,26.0,6.0,2.0,1.6,1.85,2159,2674.0
3,Beroun,central Bohemia,75232,5,41.7,8980,111,55.0,26.0,4.0,1.0,1.9,2.21,2824,2813.0
4,Kladno,central Bohemia,149893,6,67.4,9753,109,63.0,29.0,6.0,2.0,4.6,5.05,5244,5892.0
5,Kolin,central Bohemia,95616,6,51.4,9307,118,65.0,30.0,4.0,1.0,3.8,4.43,2616,3040.0
6,Kutna Hora,central Bohemia,77963,4,51.5,8546,126,60.0,23.0,4.0,2.0,2.9,4.02,2640,3120.0
7,Melnik,central Bohemia,94725,6,63.4,9920,130,38.0,28.0,1.0,3.0,2.2,2.87,4289,4846.0
8,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,95.0,19.0,7.0,1.0,1.2,1.44,5179,4987.0
9,Nymburk,central Bohemia,81344,6,55.3,8899,149,61.0,23.0,4.0,2.0,3.3,3.97,2987,2487.0
10,Praha - vychod,central Bohemia,92084,5,46.7,10124,141,55.0,29.0,4.0,3.0,0.5,0.54,3810,4316.0
11,Praha - zapad,central Bohemia,75637,7,36.5,9622,154,35.0,36.0,9.0,0.0,0.4,0.59,3475,3529.0
12,Pribram,central Bohemia,107870,6,58.0,8754,137,84.0,29.0,6.0,1.0,3.8,4.31,3804,3868.0
13,Rakovnik,central Bohemia,53921,2,41.3,8598,123,61.0,22.0,1.0,1.0,2.7,3.26,1597,1875.0
14,Ceske Budejovice,south Bohemia,177686,9,74.8,10045,135,69.0,27.0,10.0,1.0,1.4,1.71,6604,6295.0
15,Cesky Krumlov,south Bohemia,58796,5,51.9,9045,124,22.0,16.0,7.0,1.0,3.1,3.6,1845,1879.0
16,Jindrichuv Hradec,south Bohemia,93931,8,56.9,8427,107,74.0,21.0,10.0,1.0,1.1,1.54,1874,1913.0
17,Pelhrimov,south Bohemia,74062,7,61.4,8114,119,99.0,15.0,4.0,2.0,2.3,2.62,1003,1181.0
18,Pisek,south Bohemia,70699,4,65.3,8968,131,60.0,13.0,2.0,1.0,2.8,3.35,1740,1910.0
19,Prachatice,south Bohemia,51428,4,52.7,8402,120,50.0,11.0,3.0,1.0,3.1,3.98,999,1099.0
20,Strakonice,south Bohemia,70646,4,58.4,8547,120,94.0,14.0,3.0,1.0,2.6,3.64,1563,1542.0
21,Tabor,south Bohemia,103347,7,67.0,9104,123,87.0,16.0,7.0,1.0,1.5,2.07,2299,2354.0
22,Domazlice,west Bohemia,58400,6,52.4,8620,100,65.0,16.0,4.0,1.0,1.1,1.25,1089,1117.0
23,Cheb,west Bohemia,87419,9,85.5,8624,102,21.0,11.0,4.0,3.0,1.7,2.66,2879,3198.0
24,Karlovy Vary,west Bohemia,122603,8,80.0,8991,128,25.0,21.0,6.0,2.0,1.3,2.01,5198,5273.0
25,Klatovy,west Bohemia,88757,10,61.7,8554,113,60.0,33.0,3.0,2.0,2.4,2.68,1822,2218.0
26,Plzen - mesto,west Bohemia,170449,1,100.0,10787,131,0.0,0.0,0.0,1.0,2.6,3.09,6041,6261.0
27,Plzen - jih,west Bohemia,67298,7,43.8,8561,110,71.0,19.0,10.0,0.0,0.6,1.29,1029,1127.0
28,Plzen - sever,west Bohemia,72541,8,36.9,8594,112,66.0,26.0,10.0,0.0,1.6,2.01,1580,1525.0
29,Rokycany,west Bohemia,45714,6,55.6,8843,113,52.0,10.0,5.0,1.0,2.8,3.6,818,888.0
30,Sokolov,west Bohemia,94812,10,81.8,9650,100,15.0,13.0,8.0,2.0,3.3,3.67,2985,2804.0
31,Tachov,west Bohemia,51313,4,59.2,8930,108,34.0,12.0,3.0,1.0,3.5,4.2,1328,1452.0
32,Ceska Lipa,north Bohemia,105058,10,81.0,9272,118,32.0,19.0,7.0,2.0,2.8,3.22,4340,4505.0
33,Decin,north Bohemia,133777,11,84.7,8705,116,24.0,17.0,7.0,3.0,5.7,7.61,4650,4859.0
34,Chomutov,north Bohemia,125236,5,87.7,9675,100,28.0,11.0,1.0,4.0,6.4,7.68,5323,5190.0
35,Jablonec n. Nisou,north Bohemia,88768,7,80.5,8867,130,10.0,18.0,5.0,1.0,1,1.21,3384,3620.0
36,Liberec,north Bohemia,159617,9,85.2,9198,131,29.0,19.0,8.0,1.0,3.3,4.28,5796,6132.0
37,Litomerice,north Bohemia,114006,9,62.3,9065,123,71.0,26.0,6.0,2.0,4.4,5.39,4147,4166.0
38,Louny,north Bohemia,85852,4,59.8,8965,104,41.0,23.0,4.0,2.0,7,8.23,2653,2822.0
39,Most,north Bohemia,119895,4,89.9,10446,90,17.0,4.0,3.0,2.0,7.3,9.4,4947,4743.0
40,Teplice,north Bohemia,128118,8,85.3,9317,97,9.0,16.0,6.0,3.0,6.4,7.07,6949,6872.0
41,Usti nad Labem,north Bohemia,118650,3,85.6,9832,114,8.0,8.0,5.0,1.0,3.3,4.48,6445,5471.0
42,Havlickuv Brod,east Bohemia,95907,7,59.1,8388,87,87.0,25.0,5.0,2.0,2.4,2.94,1658,1668.0
43,Hradec Kralove,east Bohemia,161854,6,76.3,9425,125,73.0,21.0,6.0,1.0,1.7,2.5,4085,3891.0
44,Chrudim,east Bohemia,105606,7,53.0,8254,97,77.0,26.0,7.0,2.0,2.7,3.76,2166,2325.0
45,Jicin,east Bohemia,77917,5,53.5,8390,132,85.0,19.0,6.0,1.0,2.2,2.89,2080,2122.0
