Driver,Transcript
Charles LECLERC, It feels unbelievable. Already on Wednesday in Milan was just incredible and today to see so many people feels absolutely amazing. Happy with the pole but it’s a shame that at the end there was a big mess. I hoped for the last lap but that was enough with what happened for the pole.
Charles LECLERC," Yeah, I think the pace was quiet good actually during the race simulations in FP2 so it’s looking positive, better than in Spa, so let’s hope for a good race tomorrow."
Lewis HAMILTON," To be honest, I have to be grateful that I’m on the front row. We get to have a fight with the Ferraris tomorrow, which is nice. We’ve split them, so as a team it’s a really good position for us to be in. It is definitely a bit of an anti-climax that we couldn’t all go out and do that last final lap, that’s one of the most exciting ones we have. It’s crazy with this timing that we have, the system we have, where everyone backs up, everyone is trying to get a position and they times us out. They basically timed us out. It’s interesting – get pole position in the first run and then just time everyone out."
Lewis HAMILTON," Yeah, definitely. I mean on the out lap it’s dangerous for us all. There are people slowing down, you don’t know who is alongside you and that. It’s definitely risky business out there but it’s kind of enjoyable at the same time. But for us we are down on the Ferraris in a straight line, so we particularly need. I think others also do. I think it’s with this new wing, the drag is much bigger this year, so everyone is focusing on that. But honestly just to be up here on the front row, we can give them a good fight tomorrow."
Valtteri BOTTAS," Yeah, I was quite unlucky there and also I had a yellow flag in the first run in the last corners so I had to lift off and I believe I lost the pole because of that. Obviously the last run was a bit of a mess for everyone. But the pace was good. Happy still to be very much at the front because it’s tomorrow that counts."
Valtteri BOTTAS, It’s always good fun. Definitely enjoying it and for sure I’m going to enjoy tomorrow.
Charles LECLERC," Obviously the feeling I got when I went out of the car, hearing the crowd cheer so loud is absolutely amazing. On the other hand a bit of a shame for the team, Seb couldn’t do his second timed lap; he was very quick. I felt like a 1-2 was an opportunity even though these two guys were extremely quick and it was very, very close. But yeah, the whole qualifying was a big mess with all the slipstreaming and having the best one. But very happy with this pole position."
Charles LECLERC," Yes, I think the race pace was more positive compared to what we had the Friday in Spa, so on that we are pretty confident. But the start will be very important, as always. But there is quite a long way here from the start to the first corner so the start will be very important."
Lewis HAMILTON," Well, it’s then same as has happened for some races now. The drag is a big issue here, the tow is a key to getting a good lap. Everyone was slowing right down and also blocking the way, so you couldn’t really get through. It was pretty dangerous. I nearly crashed a couple of times trying to stay out of the way of the guys that were braking ahead of me and then people trying to come past me. Nonetheless, Charles did a great job. I was a little bit unfortunate with Kimi spinning in front of me, so I had to lift in the last corner. That was really our pole lap lost there. It would have been nice to have obviously been able to compete on that last lap, get to really thresh out the cars and see who really had that little edge right at the end."
Lewis HAMILTON," Definitely. Definitely. But I’m sure it’s the same for all of us. The track progresses so you can find little bits here and there. Also, I was quite close behind Kimi, so I was losing out a little bit through the corners, so you are trying to find the right compromise. But tomorrow there’s still a long, long way to the finish line so we’ll try to put ourselves in the best position. This is great for us to be able to separate the Ferraris and we can work together as a team tomorrow and try to overhaul him and fortunately not have the Ferrari in the way this time… Vettel."
Valtteri BOTTAS," It definitely was. I think it was compromised for sure for many drivers so in that kind of messy session it’s always good to be ending up in the top three. The same for me as for Lewis, and I was actually more far back. I had the yellow flags for Kimi so I had to lift off properly and I also feel I lost the pole there. It’s annoying when it could have been possible but it could have been a lot worse today. I hope we can really learn something from the last run because everyone pretty much missed their lap. There were two cars going slow at the front and no one could get by. So not ideal but we are here, very much close to the front and it’s going to be a good fight tomorrow."
Charles LECLERC," To be completely honest, the plan was that, in the first run, Seb was giving me the tow and in the second run, I will give him the tow. So, I actually went out of the box in front of him, and then there was the huge mess after Turns One and Two and the McLaren and a Renault – I don’t know whoever that was – they stopped in the middle of the track and we had nowhere to go. Seb overtakes me there, because of the mess, because obviously we were aware it was quite tight on time, and then I stayed, basically, behind Seb, until the last straight where I’ve heard also on the radio “you can overtake Seb,” so I overtook him – but I had no time for me either to start the lap, so yeah, it was a shame – but I don’t think I could have done much more."
Lewis HAMILTON," Well, naturally, you’re listening to your delta, understanding whether you’ve still got time left but I tried to get through… I was supposed to be behind Valtteri but I overtook him, knowing that I needed to get further ahead, but I couldn’t overtake everyone, they were weaving and braking and it was like trying to avoid carnage all the time. So, we had a couple of people I think were holding everyone up, trying to, I guess, let people by but yeah, a bit of an anti-climax, I think, probably for all of you. Maybe they should have extended the session or something like that, so we could finish, or something – I’m not really sure how we’re going to get around this. Everyone’s brake testing and slowing down to let others past, just to get a tow. I’m not sure how we’re going to get around that in the future. But… yeah… in hindsight I wish I just went out earlier. Just got out there and got a clean lap. That would have been great."
Valtteri BOTTAS," No, it’s the same. Same view for me. It was a bit of a mess and I was also just behind other cars, exit of Turn Two, and things started to go very slowly and, short on time, and everyone was pretty much in the same boat."
