account_id,open_date,statement_frequency,district_name,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance,num_customers
1,1995-03-24,monthly,Pisek,0.0,0,NA,NA,NA,NA,NA,7500,15,102,30415,1000,1
2,1993-02-26,monthly,Hl.m. Praha,0.0,1,80952.0,3373.0,24.0,expired,F,42000,15,152,69302,1100,2
3,1997-07-07,monthly,Kolin,0.0,0,NA,NA,NA,NA,NA,7400,15,46,53447,1000,2
4,1996-02-21,monthly,Pribram,0.0,0,NA,NA,NA,NA,NA,5250,15,65,34870,800,1
5,1997-05-30,monthly,Cesky Krumlov,0.0,0,NA,NA,NA,NA,NA,5100,15,35,32036,600,1
6,1994-09-27,monthly,Trutnov,0.0,0,NA,NA,NA,NA,NA,11600,15,99,51879,900,1
7,1996-11-24,monthly,Prostejov,1.0,0,NA,NA,NA,NA,NA,25800,15,51,99675,900,1
8,1995-09-21,monthly,Hodonin,0.0,0,NA,NA,NA,NA,NA,40800,15,84,79255,900,2
9,1993-01-27,monthly,Karvina,0.0,0,NA,NA,NA,NA,NA,38100,15,183,85444,400,1
10,1996-08-28,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,23840,15,59,83410,1100,1
11,1995-10-10,monthly,Sumperk,0.0,0,NA,NA,NA,NA,NA,6700,15,79,40389,300,1
12,1997-04-15,monthly,Tabor,0.0,0,NA,NA,NA,NA,NA,11000,15,39,29053,1100,2
13,1997-08-17,monthly,Sumperk,0.0,0,NA,NA,NA,NA,NA,7500,15,31,29751,1000,2
14,1996-11-27,monthly,Pardubice,1.0,0,NA,NA,NA,NA,NA,17200,15,52,59453,400,1
15,1993-10-02,monthly,Karvina,0.0,0,NA,NA,NA,NA,NA,46720,15,129,66671,800,1
16,1997-09-23,monthly,Pribram,0.0,0,NA,NA,NA,NA,NA,26300,15,32,60274,500,1
17,1997-01-08,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,25500,15,33,100815,700,2
19,1995-04-07,monthly,Tabor,0.0,1,30276.0,2523.0,12.0,expired,T,18500,1,152,58158,-10605,1
20,1996-08-24,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,4950,15,53,20458,500,1
21,1997-12-06,monthly,Brno - mesto,0.0,0,NA,NA,NA,NA,NA,28000,15,34,61685,1100,1
22,1994-03-23,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,27600,15,118,68160,1100,1
23,1993-05-22,monthly,Sokolov,0.0,0,NA,NA,NA,NA,NA,40480,15,137,95299,800,1
24,1996-12-05,monthly,Ostrava - mesto,0.0,0,NA,NA,NA,NA,NA,26800,15,52,49091,1000,1
25,1996-07-28,monthly,Frydek - Mistek,0.0,1,30276.0,2523.0,12.0,expired,F,63300,15,82,134210,900,1
26,1993-08-08,monthly,Usti nad Orlici,0.0,0,NA,NA,NA,NA,NA,29100,15,133,83469,800,1
27,1993-09-26,monthly,Opava,0.0,0,NA,NA,NA,NA,NA,9500,15,135,40464,900,1
29,1994-11-24,monthly,Melnik,0.0,0,NA,NA,NA,NA,NA,18000,8,100,59950,700,2
30,1995-03-04,monthly,Liberec,0.0,0,NA,NA,NA,NA,NA,75600,15,130,149154,400,1
31,1994-04-27,monthly,Frydek - Mistek,0.0,0,NA,NA,NA,NA,NA,61700,15,164,137131,800,1
32,1995-08-28,monthly,Kolin,0.0,0,NA,NA,NA,NA,NA,21500,15,82,90565,700,1
33,1993-08-26,monthly,Domazlice,1.0,0,NA,NA,NA,NA,NA,63100,15,131,123696,600,1
35,1993-07-07,monthly,Prerov,0.0,0,NA,NA,NA,NA,NA,14950,15,127,32520,600,1
36,1993-07-01,monthly,Hl.m. Praha,0.0,0,NA,NA,NA,NA,NA,41120,15,134,85055,500,1
37,1997-08-18,monthly,Strakonice,0.0,1,318480.0,5308.0,60.0,current,T,43200,0,36,104762,-1011,1
39,1993-09-22,monthly,Liberec,0.0,0,NA,NA,NA,NA,NA,7300,15,124,36322,1100,1
40,1993-10-25,monthly,Zlin,0.0,0,NA,NA,NA,NA,NA,13000,15,133,41560,700,1
41,1997-08-02,monthly,Olomouc,0.0,0,NA,NA,NA,NA,NA,19000,15,36,100992,800,1
42,1996-08-16,monthly,Most,0.0,0,NA,NA,NA,NA,NA,11000,15,63,45322,800,1
43,1994-06-12,monthly,Liberec,1.0,0,NA,NA,NA,NA,NA,38560,15,112,99572,1100,1
