"","account_id","min_balance","max_balance","cc_payments","min_withdrawal","max_withdrawal","credit_cards","num_customers","open_date","statement_frequency","district_name","loan","loan_amount","loan_payments","loan_term","loan_status","loan_default"
"1",1,1000,30415,102,15,7500,0,1,1995-03-24,"monthly","Pisek","F",NA,NA,NA,NA,NA
"2",2,1100,69302,152,15,42000,0,2,1993-02-26,"monthly","Hl.m. Praha","T",80952,3373,24,"expired",FALSE
"3",3,1000,53447,46,15,7400,0,2,1997-07-07,"monthly","Kolin","F",NA,NA,NA,NA,NA
"4",4,800,34870,65,15,5250,0,1,1996-02-21,"monthly","Pribram","F",NA,NA,NA,NA,NA
"5",5,600,32036,35,15,5100,0,1,1997-05-30,"monthly","Cesky Krumlov","F",NA,NA,NA,NA,NA
"6",6,900,51879,99,15,11600,0,1,1994-09-27,"monthly","Trutnov","F",NA,NA,NA,NA,NA
"7",7,900,99675,51,15,25800,1,1,1996-11-24,"monthly","Prostejov","F",NA,NA,NA,NA,NA
"8",8,900,79255,84,15,40800,0,2,1995-09-21,"monthly","Hodonin","F",NA,NA,NA,NA,NA
"9",9,400,85444,183,15,38100,0,1,1993-01-27,"monthly","Karvina","F",NA,NA,NA,NA,NA
"10",10,1100,83410,59,15,23840,0,1,1996-08-28,"monthly","Brno - mesto","F",NA,NA,NA,NA,NA
"11",11,300,40389,79,15,6700,0,1,1995-10-10,"monthly","Sumperk","F",NA,NA,NA,NA,NA
"12",12,1100,29053,39,15,11000,0,2,1997-04-15,"monthly","Tabor","F",NA,NA,NA,NA,NA
"13",13,1000,29751,31,15,7500,0,2,1997-08-17,"monthly","Sumperk","F",NA,NA,NA,NA,NA
"14",14,400,59453,52,15,17200,1,1,1996-11-27,"monthly","Pardubice","F",NA,NA,NA,NA,NA
"15",15,800,66671,129,15,46720,0,1,1993-10-02,"monthly","Karvina","F",NA,NA,NA,NA,NA
"16",16,500,60274,32,15,26300,0,1,1997-09-23,"monthly","Pribram","F",NA,NA,NA,NA,NA
"17",17,700,100815,33,15,25500,0,2,1997-01-08,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"18",19,-10605,58158,152,1,18500,0,1,1995-04-07,"monthly","Tabor","T",30276,2523,12,"expired",TRUE
"19",20,500,20458,53,15,4950,0,1,1996-08-24,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"20",21,1100,61685,34,15,28000,0,1,1997-12-06,"monthly","Brno - mesto","F",NA,NA,NA,NA,NA
"21",22,1100,68160,118,15,27600,0,1,1994-03-23,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"22",23,800,95299,137,15,40480,0,1,1993-05-22,"monthly","Sokolov","F",NA,NA,NA,NA,NA
"23",24,1000,49091,52,15,26800,0,1,1996-12-05,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"24",25,900,134210,82,15,63300,0,1,1996-07-28,"monthly","Frydek - Mistek","T",30276,2523,12,"expired",FALSE
"25",26,800,83469,133,15,29100,0,1,1993-08-08,"monthly","Usti nad Orlici","F",NA,NA,NA,NA,NA
"26",27,900,40464,135,15,9500,0,1,1993-09-26,"monthly","Opava","F",NA,NA,NA,NA,NA
"27",29,700,59950,100,8,18000,0,2,1994-11-24,"monthly","Melnik","F",NA,NA,NA,NA,NA
"28",30,400,149154,130,15,75600,0,1,1995-03-04,"monthly","Liberec","F",NA,NA,NA,NA,NA
"29",31,800,137131,164,15,61700,0,1,1994-04-27,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"30",32,700,90565,82,15,21500,0,1,1995-08-28,"monthly","Kolin","F",NA,NA,NA,NA,NA
"31",33,600,123696,131,15,63100,1,1,1993-08-26,"monthly","Domazlice","F",NA,NA,NA,NA,NA
"32",35,600,32520,127,15,14950,0,1,1993-07-07,"monthly","Prerov","F",NA,NA,NA,NA,NA
"33",36,500,85055,134,15,41120,0,1,1993-07-01,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"34",37,-1011,104762,36,0,43200,0,1,1997-08-18,"monthly","Strakonice","T",318480,5308,60,"current",TRUE
"35",39,1100,36322,124,15,7300,0,1,1993-09-22,"monthly","Liberec","F",NA,NA,NA,NA,NA
"36",40,700,41560,133,15,13000,0,1,1993-10-25,"monthly","Zlin","F",NA,NA,NA,NA,NA
"37",41,800,100992,36,15,19000,0,1,1997-08-02,"monthly","Olomouc","F",NA,NA,NA,NA,NA
"38",42,800,45322,63,15,11000,0,1,1996-08-16,"monthly","Most","F",NA,NA,NA,NA,NA
"39",43,1100,99572,112,15,38560,1,1,1994-06-12,"monthly","Liberec","F",NA,NA,NA,NA,NA
"40",44,400,29482,131,15,11350,0,1,1993-05-10,"monthly","Ceska Lipa","F",NA,NA,NA,NA,NA
"41",45,300,52970,41,15,15000,0,1,1997-09-02,"monthly","Zlin","F",NA,NA,NA,NA,NA
"42",47,300,108509,133,9,63300,0,1,1993-08-08,"monthly","Jicin","F",NA,NA,NA,NA,NA
"43",48,700,72803,52,15,25120,1,2,1996-11-17,"monthly","Tabor","F",NA,NA,NA,NA,NA
"44",49,300,24004,43,15,3520,0,1,1997-04-06,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"45",50,900,90088,117,15,23600,0,1,1994-05-06,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"46",51,800,106203,63,15,26300,1,1,1996-05-11,"monthly","Bruntal","F",NA,NA,NA,NA,NA
"47",52,900,83077,48,15,42300,0,1,1997-01-29,"monthly","Jindrichuv Hradec","F",NA,NA,NA,NA,NA
"48",53,700,27519,87,15,3900,0,1,1995-06-07,"monthly","Vsetin","F",NA,NA,NA,NA,NA
"49",54,1000,29756,89,15,8070,0,1,1995-05-02,"monthly","Kladno","F",NA,NA,NA,NA,NA
"50",55,300,23445,65,15,4300,0,1,1996-02-19,"monthly","Strakonice","F",NA,NA,NA,NA,NA
"51",56,900,78757,118,15,29600,0,1,1994-05-16,"monthly","Svitavy","F",NA,NA,NA,NA,NA
"52",57,700,77726,87,15,25300,0,1,1995-05-21,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"53",58,-2204,28954,54,6,14250,0,1,1996-08-23,"monthly","Rokycany","F",NA,NA,NA,NA,NA
"54",59,600,89720,123,15,22880,0,1,1994-03-27,"monthly","Hradec Kralove","F",NA,NA,NA,NA,NA
"55",61,700,31765,117,15,5850,0,2,1993-12-11,"monthly","Karvina","F",NA,NA,NA,NA,NA
"56",62,1100,36366,135,15,7600,0,1,1993-03-28,"monthly","Pardubice","F",NA,NA,NA,NA,NA
"57",63,600,37303,47,15,11650,0,2,1996-11-16,"monthly","Domazlice","F",NA,NA,NA,NA,NA
"58",64,200,79559,30,200,32200,0,1,1997-03-11,"monthly","Zlin","F",NA,NA,NA,NA,NA
"59",65,600,85379,53,15,26800,1,1,1996-10-29,"monthly","Liberec","F",NA,NA,NA,NA,NA
"60",67,700,134939,102,15,61500,0,1,1994-10-19,"monthly","Jindrichuv Hradec","T",165960,6915,24,"expired",FALSE
"61",69,600,71708,123,15,22800,0,1,1996-01-12,"monthly","Zlin","F",NA,NA,NA,NA,NA
"62",70,500,60184,101,15,20320,0,2,1995-02-18,"monthly","Mlada Boleslav","F",NA,NA,NA,NA,NA
"63",71,700,94860,118,15,39520,1,2,1994-03-05,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"64",73,400,89175,128,15,44160,1,1,1993-11-08,"monthly","Olomouc","F",NA,NA,NA,NA,NA
"65",75,700,49848,82,15,20300,0,1,1995-08-13,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"66",76,200,49609,73,15,22400,0,1,1996-05-16,"monthly","Usti nad Orlici","F",NA,NA,NA,NA,NA
"67",77,400,56325,52,15,36200,0,1,1996-11-19,"monthly","Vyskov","F",NA,NA,NA,NA,NA
"68",78,400,78733,137,15,21100,0,1,1993-07-07,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"69",79,600,27474,47,15,3680,0,1,1996-11-29,"monthly","Beroun","F",NA,NA,NA,NA,NA
"70",80,900,28082,75,15,5250,0,2,1995-09-27,"monthly","Hradec Kralove","F",NA,NA,NA,NA,NA
"71",81,1000,39080,74,15,3800,0,1,1996-07-18,"monthly","Ostrava - mesto","F",NA,NA,NA,NA,NA
"72",82,300,161574,144,15,61100,0,1,1994-05-03,"monthly","Plzen - mesto","F",NA,NA,NA,NA,NA
"73",83,500,42435,147,15,14080,0,2,1993-04-16,"monthly","Plzen - mesto","F",NA,NA,NA,NA,NA
"74",85,400,59467,54,15,7200,0,1,1997-03-23,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"75",86,800,28700,141,15,8880,0,2,1993-03-07,"monthly","Brno - mesto","F",NA,NA,NA,NA,NA
"76",88,300,27174,61,15,2550,0,1,1996-07-03,"monthly","Tachov","F",NA,NA,NA,NA,NA
"77",89,600,39075,33,15,10200,0,1,1997-09-25,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"78",90,500,74107,110,15,25120,0,1,1994-07-13,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"79",91,-4188,77111,42,1,34700,0,1,1996-11-06,"monthly","Pelhrimov","F",NA,NA,NA,NA,NA
"80",93,500,38377,66,15,24400,0,1,1996-06-12,"monthly","Benesov","F",NA,NA,NA,NA,NA
"81",95,200,97808,92,15,32000,1,2,1995-03-30,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"82",96,1100,156580,146,15,67500,1,2,1993-02-18,"monthly","Frydek - Mistek","F",NA,NA,NA,NA,NA
"83",97,900,67288,67,3,18600,1,2,1996-05-05,"monthly","Ostrava - mesto","T",102876,8573,12,"expired",FALSE
"84",98,1100,25586,41,15,7700,0,2,1997-05-02,"monthly","Brno - venkov","F",NA,NA,NA,NA,NA
"85",99,600,122885,93,15,64900,0,1,1995-06-27,"monthly","Hl.m. Praha","F",NA,NA,NA,NA,NA
"86",100,600,84377,145,15,35040,0,1,1993-12-28,"monthly","Usti nad Labem","F",NA,NA,NA,NA,NA
"87",101,1000,81423,71,15,46240,0,1,1996-04-16,"monthly","Jablonec n. Nisou","F",NA,NA,NA,NA,NA
"88",102,-7104,96777,118,0,29600,0,1,1993-10-16,"monthly","Praha - zapad","F",NA,NA,NA,NA,NA
"89",103,-1140,124758,84,4,62700,0,1,1996-03-10,"monthly","Chrudim","T",265320,7370,36,"current",TRUE
"90",104,500,31741,133,15,8700,0,2,1993-04-15,"monthly","Litomerice","F",NA,NA,NA,NA,NA
"91",105,800,74694,30,15,29900,1,1,1997-07-10,"monthly","Tabor","T",352704,7348,48,"current",FALSE
"92",106,500,76991,99,15,18800,1,1,1994-11-27,"monthly","Vyskov","F",NA,NA,NA,NA,NA
"93",107,1000,50612,152,15,5760,0,1,1993-11-05,"monthly","Zlin","F",NA,NA,NA,NA,NA
"94",108,800,88609,94,15,34720,1,1,1995-03-10,"monthly","Blansko","F",NA,NA,NA,NA,NA
"95",109,1100,53624,70,15,9100,1,1,1997-04-20,"monthly","Blansko","F",NA,NA,NA,NA,NA
"96",110,900,79652,61,15,44480,1,1,1996-07-17,"monthly","Liberec","T",162576,4516,36,"current",FALSE
"97",112,200,52895,141,15,38500,0,2,1993-03-12,"monthly","Kutna Hora","F",NA,NA,NA,NA,NA
"98",113,600,32697,55,15,6800,0,1,1996-07-22,"monthly","Brno - venkov","F",NA,NA,NA,NA,NA
